Title;Date;URL;Likes;Comments;Clicks;Shares;Impressions;Engagement;Vid. Views;Viewers;Time Watched;Type
"𝗥𝗲𝗰𝗼𝗻𝘀𝘁𝗿𝘂𝗶𝗿 𝘁𝗿𝗮𝘀 𝗹𝗮 𝗲𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝗶𝗮: 𝗰𝗼𝗻𝘀𝘁𝗿𝘂𝗰𝗰𝗶ó𝗻 𝗱𝗲 𝘃𝗶𝘃𝗶𝗲𝗻𝗱𝗮𝘀 𝗲𝗻 𝗕𝗮𝗵í𝗮 𝗕𝗹𝗮𝗻𝗰𝗮

En marzo de 2025, una gran inundación en Bahía Blanca puso en evidencia la crisis habitacional y climática que enfrentan miles de familias en barrios populares. En apenas 24 horas, se registró una lluvia equivalente a seis meses, afectando especialmente a quienes vivían en condiciones precarias, muchas veces sobre piso de tierra.

Frente a esta emergencia, desde TECHO, junto al apoyo de la Asociación del Fútbol Argentino (AFA) y la campaña #UnGolPorUnTecho, construimos en julio 7 viviendas para familias en situación crítica:

🔹 3 viviendas de emergencia junto a voluntariado movilizado desde Neuquén y Rio Negro
🔹 4 viviendas progresivas y accesibles junto a la @Fábrica Social TECHO Argentina

El proceso social y la asignación de las familias estuvieron liderados por el Municipio de Bahía Blanca, que acompaña el seguimiento y apoyo posterior a las familias beneficiarias.

Este proyecto representa un primer paso fundamental para reconstruir en comunidad, visibilizando la urgencia de atender la emergencia habitacional agravada por el cambio climático y reafirmando el compromiso de TECHO y sus aliados para transformar realidades.

🎥 Mirá el video con testimonios de las familias y el proceso constructivo:
🌱 Para sumarte a esta causa y construir con nosotros: argentina.techo.org

#EmergenciaHabitacional #CambioClimático #ReconstruirEnComunidad #UnGolPorUnTecho #ViviendaDigna #TECHO #BahíaBlanca";2025-07-28 13:20;"https://www.linkedin.com/feed/update/urn:li:ugcPost:7355633371307294720";27;1;38;6;1095;"6.58";548;503;37;"video"
"Ya estamos en vivo construyendo la vivienda 150.000 en Latinoamérica

Sumate ahora a compartir este hito ▶️  https://lnkd.in/dvQmDKxT";2025-07-27 14:59;"https://www.linkedin.com/feed/update/urn:li:share:7355295905392029696";1;0;10;0;270;"4.07";;;;"text"
"🌎 ¡Este domingo construiremos juntos la Vivienda 150 mil de TECHO! 

Queremos invitarte a ser parte del streaming en vivo desde territorio, donde compartiremos esta celebración junto a voluntarios, familias, aliados y el equipo de TECHO en toda la región.

🛠️ Acompaña la construcción desde las 9h (hora PY)
🕒 Live con TECHO a las 15h (PY) | 14h (CL) | 13h (COL) | 12h (MX)
📍 Desde la comunidad, en vivo
🎥 Nos vemos en YouTube → activá el recordatorio acá https://lnkd.in/dvQmDKxT 

¡Te esperamos para seguir construyendo historia! 💙";2025-07-24 13:18;"https://www.linkedin.com/feed/update/urn:li:share:7354183250786811904";22;1;11;4;860;"4.42";;;;"image"
"HOY CUMPLIMOS 28 AÑOS DE HISTORIA.

Este es el recorrido que nos llevó a construir 150 mil viviendas.
675 mil personas ya no duermen en un piso de tierra.

En 1997 comenzamos con un sueño: un grupo de jóvenes se reunió para construir viviendas de emergencia para familias afectadas por un gran temporal en Curanilahue, Chile.

Así empezamos. Una familia a la vez. Casa por casa. Barrio por barrio. Empezamos sin saber cómo hacerlo, pero lo descubrimos trabajando codo a codo con las comunidades para generar un cambio real.

En estos 28 años vimos pasar a millones de personas. Personas que dejaron su amor, su esfuerzo y su convicción, unidas por un mismo sueño, en 18 países de América Latina.

🇦🇷 En 22 años de TECHO Argentina 18.588 familias viven en un espacio más digno y seguro. 

Y seguimos. Porque nuestro sueño para 2030 está más vivo que nunca:
lograr que un millón de personas en Latinoamérica y el Caribe dejen de dormir en un piso de tierra.";2025-07-18 10:02;"https://www.linkedin.com/feed/update/urn:li:ugcPost:7351959613568696320";52;2;228;2;1638;"17.34";;;;"document"
"¡Construimos la vivienda 150.000!🥳 @TECHO \| TETO

Este año llegamos a la cifra acumulada de 150.000 viviendas construidas en Latinoamérica y El Caribe. Eso significan más de medio millón de personas que ya no duermen sobre un piso de tierra.

Y este es solo el comienzo. 

Si queres que tu empresa también sea parte del cambio, te invitamos a sumarte completando este formulario: https://lnkd.in/e6ER_F3X
O envíanos un 📧 mail a empresas.argentina@techo.org. 

@Luciana Santos @Chiara Prioletta @Luz Romo @Camila Monge @Laura Garzón Díaz";2025-07-11 11:32;"https://www.linkedin.com/feed/update/urn:li:ugcPost:7349445551697883136";20;0;220;5;1006;"24.35";;;;"document"
"➡️ Alianzas para el impacto social y ambiental 

Junto al IDUAR, organismo descentralizado de la @Municipalidad de Moreno, acompañamos la relocalización de familias en situación de emergencia habitacional que vivían en zonas de riesgo hídrico cerca del arroyo Villanueva.

Las familias fueron trasladadas por el organismo a lotes con servicios en Trujui, y desde TECHO proveímos 10 viviendas de emergencia, participamos de una primera tanda de construcción y brindamos capacitación técnica. A fines de junio, construimos las primeras 3 viviendas junto a voluntariado y personal municipal. 

Este hito refuerza la articulación entre sociedad civil y gobiernos locales para brindar soluciones habitacionales concretas, impulsando respuestas más integrales y sostenibles en barrios populares.

@Sofía Menoyo Lozano 

#TECHO #Alianzas #Moreno #vivienda";2025-07-04 17:50;"https://www.linkedin.com/feed/update/urn:li:ugcPost:7347003802253778945";21;1;112;0;1157;"11.58";;;;"multiimage"
"En @TECHO - Argentina creemos que las experiencias verdaderamente transformadoras no solo se construyen con herramientas, sino también a través del encuentro, la empatía y la acción colectiva.

Gracias @Lola Verhaert por animarte a ser parte de una construcción y compartir una reflexión tan profunda. Testimonios como el tuyo reafirman el valor de las experiencias como esta que conectan a estudiantes con comunidades y los invitan a repensar su rol en la construcción de una sociedad más justa e inclusiva. 

A través de nuestros programas de voluntariado en asentamientos populares de la Argentina, estudiantes internacionales se suman a construir junto a familias que viven en situación de extrema pobreza, compartiendo historias, trabajando codo a codo y aprendiendo mutuamente.

👉🏼Si formás parte de una universidad, programa de intercambio o institución educativa que busca ofrecer a sus estudiantes una experiencia transformadora y con impacto social en América Latina, ¡nos encantaría conversar!

📩Escribinos a secundarios.argentina@techo.org o completá el formulario https://lnkd.in/d2UpGxxf para explorar cómo podemos construir juntos una Argentina de encuentros.";2025-07-04 11:29;"https://www.linkedin.com/feed/update/urn:li:ugcPost:7346908085413711873";7;1;54;0;939;"6.6";;;;"text"
"✨ Transformar la realidad es posible cuando cada persona puede ser, amar y habitar con orgullo.

En TECHO creemos en el respeto y el cuidado mutuo. En los barrios populares y en cada espacio de voluntariado, buscamos crear entornos seguros donde todas las personas puedan expresarse con libertad y orgullo.

Soñamos con una sociedad donde tengamos las mismas condiciones para vivir con igualdad y dignidad.


🌈 #Orgullo #Diversidad #LGBTIQ+ #DiaDelOrgullo";2025-06-28 16:16;"https://www.linkedin.com/feed/update/urn:li:share:7344805787069833216";23;0;6;1;768;"3.91";;;;"image"
"Alianzas que transforman realidades

A través del convenio entre la Municipalidad de Yerba Buena (Tucumán) y TECHO, 6 familias accedieron a una vivienda de emergencia con kit eléctrico. Más de 35 voluntarios y voluntarias de la organización se movilizaron junto a las familias para hacerlo posible.

Este trabajo conjunto demuestra que cuando los gobiernos locales y la sociedad civil articulan, se construyen soluciones concretas para garantizar el acceso a una vivienda segura.

#TECHO #YerbaBuena #Vivienda #Voluntariado";2025-06-27 13:38;"https://www.linkedin.com/feed/update/urn:li:ugcPost:7344403825622941696";26;0;107;0;998;"13.33";;;;"multiimage"
"Gracias por ser parte de la transformación 🏡

Este año en @TECHO - Argentina nos propusimos un gran desafío: construir 1.000 viviendas junto a familias que viven en barrios populares.

Sabíamos que no podíamos hacerlo solos. Por eso, queremos agradecer especialmente a las empresas aliadas que nos acompañan hace años y, en particular, durante nuestra campaña de recaudación 2025.

Su compromiso y apoyo no solo hacen posible que más familias accedan a un techo seguro, sino que también demuestran que la articulación entre el sector privado y las organizaciones sociales es clave para transformar realidades.

Gracias por creer. Gracias por construir.
Sigamos trabajando juntos por una Argentina donde nadie viva en un piso de tierra.

#EmpresasConImpacto #ConstruirFuturo #RSE ";2025-06-24 09:47;"https://www.linkedin.com/feed/update/urn:li:ugcPost:7343258582559121408";22;1;477;2;1365;"36.78";;;;"document"
